Dates,Spot,Future,Risk Free,Cost of Carry,Deviation,Roll's Spread,Volatility($)
1/24/2001,264.95,264.6,5.33,268.5040853,3.904085256,0.2,0.016413241
1/25/2001,264.95,264.8,5.29,268.4772362,3.67723619,1.131,0.015629889
1/26/2001,263.05,262.9,5.29,266.5519418,3.651941799,2.432,0.015591325
1/29/2001,263.15,262.8,5.32,266.6732728,3.873272828,2.404,0.015471651
1/30/2001,265.85,268,5.24,269.3555462,1.355546195,0.605,0.015955203
1/31/2001,265.85,268,5.19,269.3218789,1.321878856,3.397,0.015843641
2/1/2001,268.65,270.7,5.1,272.0972168,1.397216808,5.282,0.016118604
2/2/2001,267.5,269.3,5.17,270.9798778,1.679877766,3.796,0.016374696
2/5/2001,265.55,267.4,5.18,269.0112356,1.611235629,1.311,0.015793916
2/6/2001,263.65,265.4,5.22,267.1131806,1.713180605,0.81,0.016111119
2/7/2001,263.35,264.9,5.1,266.7292092,1.829209181,0.792,0.015441252
2/8/2001,260.9,262.2,5.1,264.2477717,2.047771693,1.719,0.015704331
2/9/2001,260.65,262,5.03,263.9483688,1.948368779,2.451,0.015624648
2/12/2001,261.35,262.7,5.05,264.67046,1.97046005,1.219,0.014546927
2/13/2001,260.95,262.2,5.07,264.2785916,2.078591637,0.025,0.014235092
2/14/2001,259.9,261.2,5.13,263.2546834,2.054683426,0.005,0.014115997
2/15/2001,256.05,256.9,5.19,259.3938954,2.493895359,1.452,0.016507846
2/16/2001,258.95,259.8,5.11,262.2793069,2.479306919,4.962,0.018265838
2/20/2001,256.25,257.6,5.11,259.5445932,1.944593157,5.904,0.017430207
2/21/2001,258.55,259.4,5.14,261.8938054,2.493805439,6.294,0.017762992
2/22/2001,259.05,259.8,5.15,262.406832,2.606831985,4.386,0.017141396
2/23/2001,261.5,262.1,5.1,264.8554707,2.755470669,2.154,0.017512008
2/26/2001,266.85,266.8,5.05,270.2403377,3.440337725,0.675,0.022942892
2/27/2001,268.25,268.4,4.96,271.5970086,3.197008567,1.982,0.023336261
2/28/2001,267.25,267.8,4.92,270.5574743,2.757474268,0.515,0.01921737
3/1/2001,265.65,266.2,4.87,268.9040576,2.70405763,4.33,0.019645169
3/2/2001,262.75,263.1,4.95,266.0217333,2.921733347,1.95,0.021295434
3/5/2001,263.15,263.5,4.98,266.4466969,2.946696855,2.415,0.020536902
3/6/2001,260.75,260.9,4.99,264.0232306,3.123230576,3.136,0.019343608
3/7/2001,262.35,262.4,4.92,265.5968321,3.196832083,3.851,0.020018276
3/8/2001,266.45,266.1,4.89,269.7273432,3.627343194,0.608,0.022355529
3/9/2001,272.38,271.5,4.95,275.771645,4.27164502,6.222,0.028991349
3/12/2001,272.55,272.3,4.92,275.9230668,3.623066835,3.203,0.027560771
3/13/2001,267.75,267.5,4.95,271.0839928,3.583992783,7.92,0.026725413
3/14/2001,263.05,262.9,4.84,266.2522395,3.352239479,13.287,0.031894417
3/15/2001,260.65,260.3,4.81,263.8032371,3.503237091,2.898,0.030651556
3/16/2001,258.75,258.4,4.78,261.8606114,3.460611386,1.29,0.027608822
3/19/2001,260.65,260.1,4.82,263.8098323,3.709832255,2.588,0.027601175
3/20/2001,261.65,260.8,4.78,264.7954743,3.995474277,1.683,0.02745791
